ID_OfGrPart,Factor1,Factor2,Factor3,Factor4
1080103-242,-0.7027100993974418,0.17591039313128334,-1.7165636701001332,0.08715991916459455
1080103-245,0.3709390895963191,0.698297763235573,-1.5405984050392862,-0.1776134298915195
1080103-265,-1.0667437488985962,0.3234715099560365,-0.5092989918386829,-0.23783926654151263
1080103-269,0.37657179517263023,0.5334146328492213,-1.7318606794952236,1.421094388017307
1080104-237,0.7277685957858463,1.2627220253753033,1.4636866937484012,0.5451615049048824
1080104-243,-0.4267772850294644,0.7900621926350342,1.312855490705404,0.8779003733976152
1080104-261,-0.04940916015567501,-0.34423540281766646,0.7851768137269419,1.9821507811094001
1080104-273,0.004713835434049742,1.093954619248185,1.1410356944665916,0.48747536682555054
1080104-286,-1.2169904014972108,-1.1379892947450916,-0.37188193100135686,0.32983155435991407
1080105-241,0.19319892794133686,1.3374928535034647,1.5957515891297078,-0.636713851292339
1080105-249,0.828375694864681,1.2425230889494863,1.4910826924355562,0.6932300136199879
1080105-282,-1.143693506204896,-1.281944491180748,0.9726027490562729,0.4606795478082927
1080105-288,0.2528548789695502,0.193923779915729,0.7608335031722836,0.243318520305026
1080106-231,0.7189876290105637,-0.21870231160218648,1.4679483469908043,0.3270960783077878
1080106-236,1.0339032751660753,1.1592620430384466,1.0030102080294934,0.8191270245164312
1080106-247,1.0916062838382925,-0.7495204012092356,0.8261206667069367,-0.7246297531850386
1080106-266,1.0617591547137497,0.23429835481356945,-1.3017868846113552,-0.5296611233238756
1080107-232,-0.7061136048625984,0.3638401418334063,-1.2017677602156933,1.1384951502123797
1080107-233,0.47231469294185396,0.4454064719377543,1.389737347616607,0.46596813123224934
1080107-239,0.33347389565653074,-0.647391031490407,-1.6071708494592267,0.7437802129458031
1080107-256,-0.6034445103542515,-0.13761174702744794,0.0023856790374241726,-0.024124369649623407
1080108-240,0.8170391876251012,1.0637769921445928,0.9852964121135747,0.5563217352951624
1080108-251,0.06323892580618222,0.7316555853370271,0.259736215864368,0.20173647185500387
1080108-253,0.8299068976046288,0.1370653691314132,-1.0766229958729157,-0.7331469662820345
1080108-258,-0.03211743349680334,0.931821866042528,1.1186362631246483,-0.5057156346771051
1080108-267,0.6091583688273476,0.48385989047771605,-1.7315211737537841,0.7783946119844984
1080109-244,0.7299437054219264,-0.8622069861915623,-0.4596873804153433,-0.21237613384390278
1080109-254,0.018398501037602998,1.1819000646863937,1.3851073106812333,1.1340189329892325
1080109-257,0.7272765555656895,0.3222345268391317,-0.7027010571649968,0.319639359950659
1080109-276,0.7173724444149758,-0.4126972907846447,0.2682259933266712,-1.581522828641696
1080110-234,0.9435560659566748,-0.17464432711114874,-1.048570042328868,-0.929693094381839
1080110-262,0.889320072923279,1.1981406440919427,1.4862147935148775,1.8170369800519064
1080110-277,-0.4682376731155852,-2.12928660292048,-0.24115976293847527,-1.6808961897748511
1080111-248,0.5051537309239259,0.28399429054760256,0.6298834546502755,1.136663900719549
1080111-252,-0.4371848057326044,-0.5732945221572286,0.7455996115534849,-0.872634147916975
1080111-260,-0.4587656516304085,0.3377712053772732,0.17564634733033288,-0.13107773354900054
1080111-264,-1.6430070438282198,-2.014559100136376,0.09320590321966159,-1.08835259355892
1080111-275,-0.22659170381719154,0.08601849488082713,-0.3052704304919534,0.07891702962191303
1080112-235,-0.5660313526997613,0.16726960446979855,-1.2562609166415375,-1.0165007519546903
1080112-272,-0.004256977291184464,0.9871077993240764,0.5443565340763696,-0.02220392998302771
1080112-274,0.9988644977886609,0.16997230160799057,-0.22768894059663475,-1.2838280559030388
1080112-284,-0.055467398227639485,0.1500731413662072,-0.36807411078734326,1.3281042716886944
1080113-238,0.2821793525199812,0.5671781104442367,0.601845413773553,0.1893817579377822
1080113-263,-0.24174796263214493,0.3982932547303653,-0.20080650331170447,-1.1440137890739406
1080113-270,-1.4904880034662489,0.5561404156141557,-1.1865966284551106,-1.4300171318392083
1080113-271,0.42533500742395713,0.9994832612510521,0.6742307343621106,0.20274720209274702
1080113-281,0.47838255054530027,0.9804167647494446,0.8732414607079433,0.8376170361925086
1080114-279,-3.062376404199778,-1.7811571410914209,-0.5217723741529066,-0.27234034768518806
1080114-280,-0.15996208998669473,0.44666824118783915,0.21890006067052545,-0.8724037651985488
1080114-283,-1.1193562619784625,-1.2647526711326393,-1.573805843010734,0.25252054076180513
1080114-285,0.8566192298070768,0.4432700862776064,-0.5430319446431576,-1.2271305214025843
1080114-287,0.46562506672832255,-0.0029636972743755166,-0.3626012349504903,-1.664577913610363
1080201-219,-0.8374892523370394,-2.139592438185307,-0.09097768939125715,-0.4600797738607784
1080201-222,1.3030792374195475,-0.864091839247499,-0.22344737906778478,0.3987370781350182
1080201-225,0.035103511654505995,0.9541421945661998,1.2057075689325396,1.6983111212374153
1080201-227,-0.8509634140504445,-1.24688181433583,0.21307148696406347,1.057656671462681
1080202-221,-0.1521739547829745,-1.7015433978343821,-0.7537462033962733,-0.25272365821686815
1080202-223,0.08714580525957227,-1.1819419923361822,-0.16631581042759086,1.1198316194940694
1080202-228,-2.485598510492534,-2.708112032296945,-1.5070047487067038,-0.0865823273162007
1080203-220,-0.12872771550470752,-1.2685635166732625,1.692180716640831,2.1224390805173243
1080203-224,0.38581751910753903,-1.6015120190727385,-0.7705177363412976,-0.0142145801442301
1080203-226,-0.2996070091460014,-0.5742318707837033,0.4204399583062403,2.3701732624982124
1080301-194,0.2613961152171261,-0.8053391939825167,0.4016619882829212,-0.06934846943864971
1080301-206,-0.7090347607714332,0.09330082133687448,-0.3649216571453081,-0.26700237648010905
1080301-216,-2.5429830164103437,-0.1094528908749479,-0.8623939846664443,-0.5043681581382699
1080301-218,-1.5034612182764748,-0.49317763966985484,0.7407941552120564,-0.8039401728434806
1080302-191,-0.587167604268819,0.9175787498520053,-1.6488092521842705,0.2873939687678551
1080302-210,-2.4042077072148995,-1.8013052904708222,-1.419579662140714,0.2495724944019767
1080302-215,0.3025231742187224,0.9296438436948125,-1.562990600131789,0.573762497222905
1080303-201,-0.8619761133022176,0.6418985992821483,-1.1093594317432294,-1.3854399163024123
1080303-203,-1.368626311916315,-0.9902994925881536,0.033046232577363256,-0.37044622131853827
1080303-205,0.23266066397474486,-0.5282962408247135,-0.8962640230289148,-1.3188633545463444
1080303-207,0.8805636679764168,-0.943285333560963,-0.20742091847584213,-0.8993574774365404
1080304-190,-0.27995598230326935,0.7339353997142891,0.04162701545543061,-0.922502080644756
1080304-199,0.875559890096161,0.6934345056662173,-0.18528726376629956,0.8473442372336228
