iter	Passed	Remaining
874	2922	417
875	2925	414
876	2928	410
877	2931	407
878	2934	403
879	2937	400
880	2940	397
881	2943	393
882	2946	390
883	2950	387
884	2953	383
885	2956	380
886	2959	377
887	2962	373
888	2965	370
889	2969	366
890	2971	363
891	2974	360
892	2976	356
893	2979	353
894	2982	349
895	2985	346
896	2988	343
897	2991	339
898	2994	336
899	2998	333
900	3001	329
901	3004	326
902	3007	323
903	3010	319
904	3013	316
905	3016	313
906	3019	309
907	3022	306
908	3025	302
909	3028	299
910	3031	296
911	3034	292
912	3037	289
913	3040	286
914	3043	282
915	3047	279
916	3050	276
917	3053	272
918	3056	269
919	3059	266
920	3063	262
921	3066	259
922	3069	256
923	3072	252
924	3075	249
925	3078	246
926	3081	242
927	3084	239
928	3087	235
929	3090	232
930	3094	229
931	3097	226
932	3100	222
933	3103	219
934	3106	215
935	3110	212
936	3113	209
937	3116	205
938	3119	202
939	3122	199
940	3125	195
941	3128	192
942	3131	189
943	3134	185
944	3138	182
945	3141	179
946	3145	176
947	3148	172
948	3151	169
949	3154	166
950	3157	162
951	3160	159
952	3163	156
953	3166	152
954	3169	149
955	3172	146
956	3175	142
957	3178	139
958	3181	136
959	3184	132
960	3187	129
961	3193	126
962	3198	122
963	3203	119
964	3210	116
965	3214	113
966	3219	109
967	3224	106
968	3229	103
969	3234	100
970	3239	96
971	3243	93
972	3247	90
973	3251	86
974	3255	83
975	3258	80
976	3262	76
977	3266	73
978	3269	70
979	3273	66
980	3276	63
981	3279	60
982	3282	56
983	3285	53
984	3289	50
985	3292	46
986	3295	43
987	3298	40
988	3302	36
989	3305	33
990	3308	30
991	3311	26
992	3314	23
993	3317	20
994	3320	16
995	3323	13
996	3326	10
997	3329	6
998	3333	3
999	3336	0
